"110 CÂU HỎI TRẮC NGHIỆM NGHIỆP VỤ ĐẤU THẦU NĂM 2025 
(Áp dụng cho kỳ thi sát hạch nghiệp vụ)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
A,b,"Quản lý, kiểm soát khối lượng, phạm vi công việc của gói thầu do nhà thầu phụ thực hiện; báo cáo chủ đầu tư việc điều chuyển khối lượng công việc của nhà thầu phụ cho tổ chức, đơn vị khác khi cần đáp ứng yêu cầu về tiến độ, chất lượng gói thầu   ",X,,"Điều 91, khoản 1, điểm d Luật Đấu thầu 2023",,
A,c,Cả 2 đáp án trên,,,,,
Q,37, Thẩm quyền xử lý tình huống trong đấu thầu được quy định?,,,,Dung,Đổi câu hỏi mới 
A,a,"Trong mọi tình huống, người quyết định xử lý tình huống là Người có thẩm quyền",,,,,
A,b,"Người quyết định xử lý tình huống là Chủ đầu tư. Trường hợp phức tạp, chủ đầu tư quyết định sau khi có ý kiến của người có thẩm quyền",X,,"Điều 88, khoản 3 Luật Đấu thầu 2023",,
Q,38,Gói thầu mua sắm hàng hóa có giá gói thầu là 2 tỷ đồng. Mức bảo đảm dự thầu nào sau đây là phù hợp nhất?,,,,Dung,Đổi câu hỏi mới
A,a,"30,000,000 đồng",X,,Khoản 4 Điều 14 Luật Đấu thầu 2023,,
A,b,"40,000,000 đồng",,,,,
A,c,"60,000,000 đồng",,,,,
Q,39,Quyền khởi kiện và yêu cầu Tòa án áp dụng biện pháp khẩn cấp tạm thời thực hiện theo quy định của luật?,,X,,Phúc,
A,a,Luật Dân sự,X,,"Điều 94, khoản 1 Luật Đấu thầu 2023",,
A,b,Luật Hình sự,,,,,
A,c,Luật Kinh tế,,,,,
A,d,Luật xây dựng,,,,,
Q,40,"Khi nộp đơn khởi kiện hoặc trong quá trình Tòa án giải quyết vụ kiện, các bên có quyền yêu cầu Tòa án: (Luật Đấu thầu số 22/2023/QH15)",,,,Phúc,
A,a,Tạm dừng ngay việc đóng thầu; phê duyệt danh sách ngắn;,,,,,
A,b,Tạm dừng phê duyệt kết quả lựa chọn nhà thầu;,,,,,
A,c,Tạm dừng ký kết hợp đồng; thực hiện hợp đồng,,,,,
A,d,Các biện pháp khẩn cấp tạm thời khác theo quy định của pháp luật,,,,,
A,e,Tất cả các câu trên đều đúng,X,,"Điều 94, khoản 2 Luật Đấu thầu 2023",,
Q,41,Danh sách ngắn là:,,,,Phúc,
A,a,Danh sách nhà thầu trúng sơ tuyển đối với đấu thầu rộng rãi có sơ tuyển; ,,,,,
A,b,"Danh sách nhà thầu, nhà đầu tư được mời tham dự thầu đối với đấu thầu hạn chế; ",,,,,
A,c,Danh sách nhà thầu có hồ sơ quan tâm đáp ứng yêu cầu của hồ sơ mời quan tâm.,,,,,
A,d,Tất cả đều đúng.,X,,"Điều 4, khoản 3 Luật Đấu thầu 2023",,
Q,42,Công việc thuộc trách nhiệm của chủ đầu tư bao gồm?,,,,Dung,Đổi câu hỏi mới 
A,a,"Phê duyệt kế hoạch lựa chọn nhà thầu; hồ sơ mời thầu, hồ sơ yêu cầu; Kết quả lựa chọn nhà thầu; trả lời làm rõ hồ sơ mời thầu, hồ sơ yêu cầu; Yêu cầu nhà thầu làm rõ hồ sơ dự thầu trong quá trình đánh giá hồ sơ; Quyết định thành lập Tổ chuyên gia trong trường hợp không thuê tư vấn lập hồ sơ mời thầu, hồ sơ yêu cầu",X,,"Điều 78 Luật Đấu thầu 2023, sửa đổi bổ sung theo Luật 90",,
A,b,"Tổ chức kiểm tra, giám sát công tác đấu thầu, thực hiện hợp đồng",,,,,
A,c,"Cả 2 câu a, b đều đúng",,,,,
Q,43,Luật số 90/2025/QH15 sửa đổi bổ sung một số Điều của Luật Đấu thầu 2023 có hiệu lực khi nào?,,,,Dung,Đổi câu hỏi mới 
A,a,2025-01-01 00:00:00,,,,,
A,b,Ngày 15/01/2025,,,,,
A,c,2025-07-01 00:00:00,X,,Điều 9 Luật 90/2025/QH15,,
A,d,Ngày 15/07/2025,,,,,
Q,44,"Công ty mẹ, công ty con, công ty thành viên trong tập đoàn kinh tế nhà nước, tổng công ty nhà nước có được tham dự gói thầu của nhau nếu sản phẩm, dịch vụ thuộc gói thầu đó thuộc ngành, nghề sản xuất, kinh doanh chính của tập đoàn kinh tế nhà nước, tổng công ty nhà nước?",,X,,Dung,Đổi câu hỏi mới 
A,a,Có,X,,"Khoản 4a Điều 6 Luật Đấu thầu 2023, sửa đổi bổ sung theo Luật 90",,
A,b,Không,,,,,
A,c,Người có thẩm quyền quyết định,,,,,
Q,45,Quy chế về công tác đấu thầu sử dụng chi phí SXKD trong EVNHCMC được ban hành theo Quyết định số?,,,,Dung,Đổi câu hỏi mới 
A,a,Quyết định số 70/QĐ-HĐTV ngày 30/5/2025,,,,,
A,b,Quyết định số 68/QĐ-HĐTV ngày 26/5/2025,X,,,,
A,c,Các đáp án trên đều sai,,,,,
Q,46,"Trung tâm B là đơn vị sự nghiệp trực thuộc cơ quan A và hạch toán kế toán độc lập, cơ quan A (chủ đầu tư) có được giao cho trung tâm B thực hiện gói thầu X theo hình thức tự thực hiện hay không?",,X,,Phúc,
A,a,Không được giao cho trung tâm B vì trung tâm B không phải là đơn vị phụ thuộc hoàn toàn (hạch toán độc lập),X,,"Điều 26, khoản 2 Luật Đấu thầu 2023",,
A,b,Được giao trung tâm B thực hiện gói thầu trên cơ sở ký kết hợp đồng,,,,,
A,c,"Báo cáo người có thẩm quyền xem xét, quyết định",,,,,
Q,47,Gói thầu hỗn hợp là gói thầu bao gồm:,,,,Phúc,
A,a,Thiết kế và cung cấp hàng hóa (EP),,,,,
A,b,Thiết kế và xây lắp (EC),,,,,
A,c,Cung cấp hàng hóa và xây lắp (PC),,,,,
A,d,"Thiết kế, cung cấp hàng hóa và xây lắp (EPC)",,,,,
A,e,"Lập dự án, thiết kế, cung cấp hàng hóa và xây lắp (chìa khóa trao tay)",,,,,
A,f,Tất cả các hình thức trên,X,,"Điều 4, khoản 16 Luật Đấu thầu 2023",,
Q,48,Việc phê duyệt kế hoạch lựa chọn nhà thầu đối với gói thầu cần thực hiện trước khi có quyết định phê duyêt dự án thuộc thẩm quyền của:,,X,,Phúc,
A,a,Người có thẩm quyền,,,,,
A,b,Chủ đầu tư (trường hợp xác định được chủ đầu tư),X,,"Điều 40, khoản 2, điểm c Luật Đấu thầu 2023",,
A,c,Bên mời thầu,,,,,
Q,49,Đấu thầu qua mạng hiện tại là việc thực hiện hoạt động đấu thầu trên?,,X,,Phúc,
A,a,Hệ thống mạng đấu thầu do đơn vị tổ chức đấu thầu tự xây dựng,,,,,
A,b,Hệ thống mạng đấu thầu của EVN,,,,,
A,c,Hệ thống mạng đấu thầu quốc gia,X,,"Điều 4, khoản 9 Luật Đấu thầu 2023",,
A,d,Trang thông tin của EVNHCMC,,,,,
Q,50,Điều kiện xét duyệt trúng thầu đối với gói thầu cung cấp dịch vụ tư vấn áp dụng phương pháp giá thấp nhất là:,,,,Phúc,
A,a,"Có HSDT hợp lệ, có đề xuất kỹ thuật đáp ứng yêu cầu, có giá dự thầu sau sửa lỗi và hiệu chỉnh sai lệch, trừ đi giá trị giảm giá (nếu có) thấp nhất và có điểm tổng hợp cao nhất, có giá đề nghị trúng thầu không vượt giá gói thầu/dự toán được phê duyệt",,,,,
A,b,"Có HSDT hợp lệ, có đề xuất kỹ thuật đáp ứng yêu cầu, điểm tổng hợp cao nhất, có giá đề nghị trúng thầu không vượt giá gói thầu/dự toán được duyệt",,,,,
A,c,"Có HSDT, HSĐX hợp lệ; có đề xuất kỹ thuật đáp ứng yêu cầu; có giá dự thầu sau sửa lỗi, hiệu chỉnh sai lệch trừ đi giá trị giảm giá (nếu có) thấp nhất; đối với gói thầu áp dụng loại hợp đồng trọn gói, có giá dự thầu trừ đi giá trị giảm giá (nếu có) thấp nhất; có giá đề nghị trúng thầu không vượt giá gói thầu được phê duyệt",X,,"Điều 60, khoản 1 Luật Đấu thầu 2023",,
A,d,Tất cả các đáp án trên đều đúng,,,,,
Q,51,"Trường hợp hủy thầu, hồ sơ liên quan được lưu trữ trong thời hạn ....kể từ ngày quyết định hủy thầu được ban hành.",,,,Phúc,
A,a,01 năm,,,,,
A,b,03 năm,,,,,
A,c,05 năm,X,,Khoản 4 Điều 9 Luật Đấu thầu 2023,,
Q,52,Các thông tin phải được đăng tải trên hệ thống mạng đấu thầu quốc gia?,,,,Phúc,
A,a,"Thông tin về dự án, Kế hoạch lựa chọn nhà thầu; Thông báo mời quan tâm, thông báo mời sơ tuyển;",,,,,
A,b,"Thông báo mời thầu; Danh sách ngắn; Hồ sơ mời quan tâm, hồ sơ mời sơ tuyển, hồ sơ mời thầu và các nội dung sửa đổi, làm rõ hồ sơ (nếu có);",,,,,
A,c,Thông tin xử lý vi phạm pháp luật về đấu thầu; Thông tin chủ yếu của hợp đồng;,,,,,
A,d,"Kết quả lựa chọn nhà thầu, nhà đầu tư; Kết quả mở thầu đối với đấu thầu qua mạng; Thông tin về kết quả thực hiện hợp đồng của nhà thầu; Thông tin khác có liên quan.",,,,,
A,e,Tất cả câu trên,X,,"Điều 7, khoản 1 Luật Đấu thầu 2023",,
Q,53,Bên mời thầu có văn bản đề nghị nhà thầu gia hạn hiệu lực hồ sơ dự thầu nhưng nhà thầu không đồng ý. Trong trường hợp này:,,,,Phúc,
A,a,Bảo đảm dự thầu không được hoàn trả cho nhà thầu,,,,,
A,b,Bảo đảm dự thầu được hoàn trả cho nhà thầu,X,,"Điều 14, khoản 6                           Luật Đấu thầu 2023",,
A,c,Bên mời thầu báo cáo chủ đầu tư xem xét việc hoàn trả bảo đảm dự thầu cho nhà thầu,,,,,
Q,54,Gói thầu hỗn hợp là gói thầu thuộc các trường hợp sau: ,,,,Dung,
A,a,Thiết kế và cung cấp hàng hóa (EP); thiết kế và xây lắp (EC);,,,,,
A,b,"Cung cấp hàng hóa và xây lắp (PC); thiết kế, cung cấp hàng hóa và xây lắp (EPC); ",,,,,
A,c,"Lập dự án, thiết kế, cung cấp hàng hóa và xây lắp (chìa khóa trao tay).",,,,,
A,d,Các trường hợp trên.,X,,Khoản 16 Điều 4 Luật Đấu thầu 2023,,
Q,55,"Nội dung ""Nhà thầu tư vấn giám sát thực hiện hợp đồng, nhà thầu thực hiện hợp đồng, nhà thầu tư vấn kiểm định gói thầu đó phải độc lập về pháp lý và độc lập về tài chính với nhau""",,,,Phúc,
A,a,Đúng ,X,,"Điều 6, khoản 3 Luật Đấu thầu 2023",,
A,b,Sai,,,,,
Q,56,Khẳng định nào sau đây là đúng?,,X,,Phúc,
A,a,"Nhà thầu phụ là tổ chức, cá nhân ký hợp đồng với nhà thầu để tham gia thực hiện công việc xây lắp; phi tư vấn; dịch vụ liên quan của gói thầu cung cấp hàng hóa; công việc thuộc gói thầu hỗn hợp.",,,,,
A,b,"Nhà thầu phụ là tổ chức, cá nhân ký hợp đồng với nhà thầu để tham gia thực hiện công việc xây lắp; tư vấn; dịch vụ liên quan của gói thầu cung cấp hàng hóa; công việc thuộc gói thầu hỗn hợp.",,,,,
A,c,"Nhà thầu phụ là tổ chức, cá nhân ký hợp đồng với nhà thầu để tham gia thực hiện công việc xây lắp; tư vấn; phi tư vấn; công việc thuộc gói thầu hỗn hợp.",,,,,
A,d,"Nhà thầu phụ là tổ chức, cá nhân ký hợp đồng với nhà thầu để tham gia thực hiện công việc xây lắp; tư vấn; phi tư vấn; dịch vụ liên quan của gói thầu cung cấp hàng hóa; công việc thuộc gói thầu hỗn hợp.",X,,Khoản 27 Điều 4 Luật Đấu thầu 2023,,
Q,57,Các ưu đãi trong lựa chọn nhà thầu bao gồm:,,,,Phúc,
A,a,"Xếp hạng cao hơn cho nhà thầu thuộc đối tượng được hưởng ưu đãi trong trường hợp nhà thầu thuộc đối tượng được hưởng ưu đãi và nhà thầu không thuộc đối tượng được hưởng ưu đãi được đánh giá ngang nhau; Cộng thêm điểm vào điểm đánh giá của nhà thầu thuộc đối tượng được ưu đãi đối với trường hợp áp dụng phương pháp giá cố định, dựa trên kỹ thuật, kết hợp giữa kỹ thuật và giá để so sánh, xếp hạng;",,,,,
A,b,"Cộng thêm số tiền vào giá dự thầu hoặc vào giá đánh giá của nhà thầu không thuộc đối tượng được ưu đãi đối với trường hợp áp dụng phương pháp giá thấp nhất hoặc phương pháp giá đánh giá để so sánh, xếp hạng; Được ưu tiên trong đánh giá về năng lực, kinh nghiệm, tư cách hợp lệ và các tiêu chí khác trong quá trình đánh giá hồ sơ dự thầu;",,,,,
A,c,"Gói thầu xây lắp có giá gói thầu không quá 05 tỷ đồng được dành cho doanh nghiệp siêu nhỏ, doanh nghiệp nhỏ tham dự thầu. Trường hợp đã tổ chức đấu thầu, nếu không có doanh nghiệp siêu nhỏ, doanh nghiệp nhỏ đáp ứng được yêu cầu thì được phép tổ chức đấu thầu lại và cho phép các doanh nghiệp khác được tham dự thầu.",,,,,
A,d,Các trường hợp trên.,X,,Khoản 2 Điều 10 Luật Đấu thầu 2023,,
Q,58,"Nhà thầu A nhà thầu B cùng tham dự đấu thầu rộng rãi. Người đại diện theo pháp luật của nhà thầu A và người đại diện theo pháp luật của nhà thầu B là vợ chồng. Trong trường hợp này, việc đánh giá hồ sơ dự thầu của nhà thầu nêu trên thực hiện như thế nào?",,,,Phúc,
A,a,Hồ sơ dự thầu của 2 nhà thầu không vi phạm quy định về bảo đảm cạnh tranh trong đấu thầu,X,,Do không vi phạm quy định tại Điều 6 của Luật Đấu thầu 2023,,
A,b,Loại hồ sơ dự thầu của cả 2 nhà thầu vì vi phạm quy định về bảo đảm cạnh tranh trong đấu thầu,,,,,
A,c,"Báo cáo chủ đầu tư để xem xét, xử lý tình huống trong đấu thầu",,,,,
Q,59,"Thời gian có hiệu lực của bảo đảm dự thầu được quy định trong hồ sơ mời thầu, hồ sơ yêu cầu bằng thời gian có hiệu lực của hồ sơ dự thầu, hồ sơ đề xuất cộng thêm ….:",,,,Phúc,
A,a,28 ngày,,,,,
A,b,4 tuần,,,,,
A,c,30 ngày,X,,"Điều 14, khoản 5 Luật Đấu thầu 2023",,
A,d,35 ngày,,,,,
Q,60,"Đối với kết quả lựa chọn nhà thầu, việc giải quyết kiến nghị do bên nào thực hiện?",,X,,Dung,Đổi câu hỏi mới 
A,a,"Chủ đầu tư, Hội đồng giải quyết kiến nghị",X,,"Điều 89, khoản 4 Luật Đấu thầu 2023, sửa đổi bổ sung theo Luật 90",,
A,b,"Người có thẩm quyền, Chủ đầu tư",,,,,
A,c,"Chủ đầu tư, Bên mời thầu",,,,,
Q,61,"Tìm phát biểu đúng trong trường hợp gia hạn thời gian có hiệu lực của hồ sơ dự thầu, hồ sơ đề xuất sau thời điểm đóng thầu:",,,,Phúc,Hiệu chỉnh đáp án 
A,a,"Trường hợp gia hạn thời gian có hiệu lực của hồ sơ dự thầu sau thời điểm đóng thầu, Chủ đầu tư, bên mời thầu phải yêu cầu nhà thầu, nhà đầu tư gia hạn tương ứng thời gian có hiệu lực của bảo đảm dự thầu. Trong trường hợp này, nhà thầu, nhà đầu tư phải gia hạn tương ứng thời gian có hiệu lực của bảo đảm dự thầu và không được thay đổi nội dung trong hồ sơ dự thầu đã nộp",,,,,
A,b,"Trường hợp nhà thầu, nhà đầu tư từ chối gia hạn thì hồ sơ dự thầu sẽ không còn giá trị và bị loại; Chủ đầu tư, bên mời thầu phải hoàn trả hoặc giải tỏa bảo đảm dự thầu cho nhà thầu, nhà đầu tư trong thời hạn 14 ngày kể từ ngày bên mời thầu nhận được văn bản từ chối gia hạn.",,,,,
A,c,"a dúng, b sai",,,,,
A,d,a và b đều đúng,X,,"Điều 14, khoản 6 Luật Đấu thầu 2023",,
Q,62,Tìm phát biểu sai về bảo đảm dự thầu trong trường hợp liên danh tham dự thầu:,,,,Phúc,
A,a,"Trường hợp liên danh tham dự thầu, từng thành viên trong liên danh có thể thực hiện bảo đảm dự thầu riêng hoặc thỏa thuận để một thành viên chịu trách nhiệm thực hiện bảo đảm dự thầu cho thành viên đó và cho thành viên khác trong liên danh",,,,,
A,b,Tổng giá trị của bảo đảm dự thầu không thấp hơn giá trị yêu cầu trong hồ sơ mời thầu,,,,,
A,c,Từng thành viên trong liên danh thực hiện bảo đảm dự thầu riêng rẽ với giá trị của bảo đảm tương ứng với giá trị phần việc đảm nhận trong liên danh,X,,"Điều 14, khoản 7 Luật Đấu thầu 2023",,
A,d,Trường hợp có thành viên trong liên danh vi phạm quy định tại khoản 9 Điều 14 Luật Đấu thầu thì bảo đảm dự thầu của tất cả thành viên trong liên danh không được hoàn trả.,,,,,
Q,63,Thời gian phê duyệt kế hoạch lựa chọn nhà thầu được quy định?,,,,Dung,
A,a,03 ngày làm việc,,,,,
A,b,05 ngày làm việc,,,,,
A,c,"Chủ đầu tư có trách nhiệm quyết định thời gian thực hiện trên cơ sở đảm bảo tiến độ của dự án, gói thầu",X,,"Điều 45, khoản 2 Luật Đấu thầu 2023",,
Q,64,"Chọn đáp án đúng và điền vào chỗ trống : Thời gian có hiệu lực của hồ sơ dự thầu là …, hiệu lực của bảo đảm dự thầu là…",,,,Phúc,
A,a,90 ngày…..150 ngày,,,,,
A,b,120 ngày…. 180 ngày,,,,,
A,c,180 ngày….210 ngày,X,,"Điều 14, khoản 5 Luật Đấu thầu 2023 (Thời gian có hiệu lực của bảo đảm dự thầu được quy định trong hồ sơ mời thầu bằng thời gian có hiệu lực của hồ sơ dự thầu cộng thêm 30 ngày)",,
A,d,180 ngày ….240 ngày,,,,,
Q,65,"Theo Quy định của Luật đấu thầu, thỏa thuận khung trong mua sắm tập trung được hiểu như thế nào ?",,,,Phúc,
A,a,Là thỏa thuận giữa đơn vị mua sắm tập trung với một hoặc nhiều nhà thầu được lựa chọn đối với gói thầu không chia phần hoặc đối với một phần của gói thầu chia phần.,,,,,
A,b,Thỏa thuận khung quy định nội dung và điều kiện để làm cơ sở cho việc mua sắm theo từng hợp đồng cụ thể.,,,,,
A,c,"Thời hạn áp dụng thỏa thuận khung được quy định trong kế hoạch lựa chọn nhà thầu nhưng không quá 36 tháng. Tại thời điểm ký thỏa thuận khung, hồ sơ dự thầu của nhà thầu được lựa chọn còn hiệu lực.",,,,,
A,d,"Đối với nhà thầu liên danh, tất cả thành viên tham gia liên danh phải trực tiếp ký, đóng dấu (nếu có) vào thỏa thuận khung.",,,,,
A,e,Tất cả các đáp án trên,X,,Điều 54 Luật Đấu thầu 2023,,
Q,66,"Theo Luật Đấu thầu 2023, giá hợp đồng là:",,X,,Phúc,
A,a,Giá được ghi trong quyết định phê duyệt kết quả lựa chọn nhà thầu,,,,,
A,b,"Giá dự thầu của nhà thầu được đề nghị trúng thầu sau khi đã được sửa lỗi, hiệu chỉnh sai lệch theo yêu cầu của hồ sơ mời thầu, hồ sơ yêu cầu, trừ đi giá trị giảm giá (nếu có)",,,,,
A,c,Giá hợp đồng là giá trị ghi trong hợp đồng giữa chủ đầu tư và nhà thầu.,X,,"Điều 4, khoản 14 Luật Đấu thầu 2023",,
A,d,"Giá do nhà thầu ghi trong đơn dự thầu, báo giá, bao gồm toàn bộ các chi phí để thực hiện gói thầu theo yêu cầu của hồ sơ mời thầu, hồ sơ yêu cầu",,,,,
Q,67,"Theo Luật Đấu thầu 2023, giá dự thầu là:",,,,Hảo,
A,a,"Giá dự thầu là giá do nhà thầu ghi trong đơn dự thầu, báo giá, bao gồm toàn bộ các chi phí để thực hiện gói thầu theo yêu cầu của HSMT/ HSYC",,,,,
A,b,"Giá dự thầu là giá do nhà thầu chào trong đơn dự thầu, bao gồm toàn bộ các chi phí để thực hiện gói thầu theo yêu cầu của HSMT/ HSYC.",X,,"Điều 4, khoản 12 Luật Đấu thầu 2023",,
Q,68,"Theo Luật Đấu thầu 2023, Hồ sơ mời thầu là?",,,,Hảo,
A,a,"Là toàn bộ tài liệu sử dụng cho hình thức đấu thầu rộng rãi, đấu thầu hạn chế, chào hàng cạnh tranh, bao gồm các yêu cầu cho một dự án, gói thầu, dự án đầu tư kinh doanh làm căn cứ để nhà thầu, nhà đầu tư chuẩn bị hồ sơ dự thầu và để bên mời thầu tổ chức đánh giá hồ sơ dự thầu",X,,"Điều 4, khoản 21 Luật Đấu thầu 2023",,
A,b,"Là toàn bộ tài liệu sử dụng cho hình thức đấu thầu rộng rãi, đấu thầu hạn chế, bao gồm các yêu cầu cho một dự án, gói thầu, dự án đầu tư kinh doanh làm căn cứ để nhà thầu, nhà đầu tư chuẩn bị hồ sơ dự thầu và để bên mời thầu tổ chức đánh giá hồ sơ dự thầu",,,,,
Q,69,"Bên mời thầu có trách nhiệm hoàn trả hoặc giải tỏa bảo đảm dự thầu cho nhà thầu, nhà đầu tư không được lựa chọn theo thời hạn quy định trong HSMT:",,,,Hảo,
A,a,"Không quá 20 ngày, kể từ ngày kết quả lựa chọn nhà thầu, nhà đầu tư được phê duyệt",,,,,
A,b,"Không quá 14 ngày, kể từ ngày kết quả lựa chọn nhà thầu, nhà đầu tư được phê duyệt",X,,"Điều 14, khoản 8 Luật Đấu thầu 2023",,
A,c,Cả a và b đều sai,,,,,
Q,70,"Tổ chức đấu thầu trong nước, đối với gói thầu xây lắp, gói thầu cung cấp hàng hóa và xây lắp (PC), phần xây lắp trong gói thầu thiết kế và xây lắp (EC), trường hợp nhà thầu không bổ sung, thay thế nhân sự chủ chốt, thiết bị thi công chủ yếu hoặc sau khi làm rõ, bổ sung, thay thế, nhà thầu không bố trí được nhân sự chủ chốt, thiết bị thi công chủ yếu đáp ứng yêu cầu của hồ sơ mời thầu theo cam kết trong đơn dự thầu ?",,,,Dung,Đổi câu hỏi mới 
A,a,Nhà thầu bị loại,,,,,
A,b,Nhà thầu bị đánh giá về uy tín khi tham dự thầu theo quy định tại Điều 20 của Nghị định này,,,,,
A,c,Nhà thầu bị khóa tài khoản trong thời hạn 03 tháng kể từ ngày chủ đầu tư công khai tên nhà thầu trên Hệ thống mạng đấu thầu quốc gia,,,,,
A,d,Cả 3 câu trên đều đúng,X,,Điều 29 Nghị định 214/2025/NĐ-CP,,
Q,71,"Đối với gói thầu xây lắp, gói thầu cung cấp hàng hóa và xây lắp (PC), phần xây lắp trong gói thầu thiết kế và xây lắp EC, việc đánh giá chi tiết về nhân sự chủ chốt và thiết bị thi công chủ yếu được thực hiện theo quy định như thế nào?",,,,Dung,Đổi câu hỏi mới 
A,a,"Trên cơ sở cam kết của nhà thầu trong đơn dự thầu. Sau khi đánh giá về tài chính, nhà thầu xếp hạng thứ nhất thì đánh giá chi tiết nhân sự chủ chốt và thiết bị thi công trong tài liệu đính kèm",,,,,
A,b,"Trường hợp nội dung kê khai, tài liệu đính kèm của nhà thầu không đáp ứng, chủ đầu tư yêu cầu nhà thầu làm rõ hồ sơ dự thầu để bổ sung, thay đổi nhân sự chủ chốt, thiết bị thi công chủ yếu so với nội dung đã kê khai, tài liệu đính kèm trong hồ sơ dự thầu",,,,,
A,c,"Việc bổ sung, thay đổi đối với từng nhân sự chủ chốt, thiết bị thi công chủ yếu không đáp ứng được thực hiện tối đa 02 lần để bảo đảm nhà thầu có nhân sự chủ chốt, thiết bị thi công chủ yếu đáp ứng yêu cầu của hồ sơ mời thầu theo cam kết trong đơn dự thầu ",,,,,
A,d,Tất cả các đáp án trên,X,,Điều 29 Nghị định 214/2025/NĐ-CP,,
Q,72,"""Phương pháp giá thấp nhất"" để đánh giá hồ sơ dự thầu đối với gói thầu cung cấp dịch vụ phi tư vấn, mua sắm hàng hóa, xây lắp, hỗn hợp, bao gồm các tiêu chí sau:",,,,Hảo,
A,a,"Phương pháp giá thấp nhất được áp dụng đối với gói thầu mà các đề xuất về kỹ thuật, tài chính, thương mại được coi là cùng một mặt bằng khi đáp ứng các yêu cầu của hồ sơ mời thầu",,,,,
A,b,"Tiêu chuẩn đánh giá hồ sơ dự thầu bao gồm: tiêu chuẩn đánh giá về năng lực, kinh nghiệm và các tiêu chí của gói thầu",,,,,
A,c,"Nhà thầu có hồ sơ dự thầu đáp ứng yêu cầu về kỹ thuật, có giá dự thầu sau sửa lỗi, hiệu chỉnh sai lệch (nếu có), trừ đi giá trị giảm giá (nếu có) thấp nhất được xếp hạng thứ nhất",,,,,
A,d,Câu a và b đúng,,,,,
A,e,Câu a và c đúng,X,,"Điều 58, khoản 1 Luật Đấu thầu 2023",,
Q,73,"Theo quy định, việc thanh toán trong hợp đồng xây dựng có thể được thực hiện theo tỷ lệ phần trăm giá hợp đồng hoặc giá công trình, hạng mục công trình, khối lượng công việc tương ứng với giai đoạn thanh toán. Khi thanh toán theo hình thức này, điều nào sau đây là đúng?",,,,Dung,Đổi câu hỏi mới
A,a,Bắt buộc phải có xác nhận chi tiết khối lượng hoàn thành cho từng công việc,,,,,
A,b,Không cần có xác nhận khối lượng hoàn thành chi tiết mà thực hiện theo tỷ lệ và thỏa thuận trong hợp đồng,X,,Điều 120 Nghị định 214/2025/QH15,,
A,c,Chỉ được thanh toán sau khi công trình hoàn thành toàn bộ và được nghiệm thu,,,,,
Q,74,Luật Đấu thầu 2023 quy định Hồ sơ hợp đồng với nhà thầu bao gồm các tài liệu sau:,,,,Hảo,
A,a,"Hồ sơ hợp đồng với nhà thầu bao gồm các tài liệu sau: Văn bản hợp đồng; Phụ lục hợp đồng gồm danh mục chi tiết về phạm vi công việc, biểu giá, tiến độ thực hiện (nếu có); Quyết định phê duyệt kết quả lựa chọn nhà thầu",,,,,
A,b,"Tùy theo quy mô, tính chất của gói thầu, hồ sơ hợp đồng có thể bao gồm một hoặc một số tài liệu sau: Biên bản hoàn thiện hợp đồng; Biên bản thương thảo hợp đồng (nếu có); Văn bản thỏa thuận của các bên về điều kiện của hợp đồng, bao gồm điều kiện chung, điều kiện cụ thể; Hồ sơ dự thầu, hồ sơ đề xuất và các tài liệu làm rõ hồ sơ dự thầu, hồ sơ đề xuất của nhà thầu được lựa chọn; Hồ sơ mời thầu, hồ sơ yêu cầu và các tài liệu sửa đổi, bổ sung hồ sơ mời thầu, hồ sơ yêu cầu; Tài liệu khác có liên quan",,,,,
A,c,Các câu trên đều đúng,X,,"Điều 65, khoản 1 Luật Đấu thầu 2023",,
Q,75,Một số hoạt động kiểm soát tiêu chuẩn để đảm bảo chất lượng hồ sơ trình duyệt Kế hoạch lựa chọn nhà thầu:,,,,Hảo,
A,a, Áp dụng TT 79/2025/TT-BTC ngày 04/8/2025,,,,,
A,b,"Xem xét ảnh hưởng của các khoảng thời gian thực hiện công tác phối hợp với các đơn vị ngoài, công tác thỏa thuận hướng tuyến, tham vấn cộng đồng, thời gian bàn giao nghiệm thu, chạy thử, ... để xác định thời gian thực hiện dự án, thời gian bắt đầu tổ chức lựa chọn nhà thầu cho phù hợp",,,,,
A,c,Áp dụng các hình thức lựa chọn nhà thầu theo đúng quy định của Luật Đấu thầu 2023,,,,,
A,d,Cả 3 câu trên,X,,QT 13.1 RR02 - Theo HSRRQT đã ban hành tại VB số 587/EVNHCMC-QLĐT ngày 21/02/2025,,
Q,76,"Một số yếu tố làm ảnh hưởng đến chất lượng hồ sơ trình duyệt kế hoạch lựa chọn nhà thầu chưa cao, còn thiếu sót:",,,,Hảo,
A,a,Không đúng theo biểu mẫu quy định,,,,,
A,b,"Thời gian thực hiện dự án, thời gian bắt đầu tổ chức lựa chọn nhà thầu chưa phù hợp",,,,,
A,c," Không nêu hoặc nêu lý do áp dụng hình thức khác đấu thầu rộng rãi (chỉ định thầu, chào hàng cạnh tranh,…) chưa phù hợp",,,,,
A,a,Cả 3 câu trên,X,,QT_13.1_RR02 - Theo HSRRQT đã ban hành tại VB số 587/EVNHCMC-QLĐT ngày 21/02/2025,,
